Borough,AvgCrime,CrimeStd,RecentAvgCrime,TrendRatio,Cluster_k2,Cluster_k4
Barking and Dagenham,1528.9371727748692,161.51821220552824,1658.3846153846155,1.085,0,0
Barnet,2204.020942408377,222.22698112077816,2389.769230769231,1.084,0,3
Bexley,1197.5602094240837,181.20612075161975,1319.7692307692307,1.102,0,0
Brent,2384.047120418848,260.5161938184734,2706.6923076923076,1.135,0,3
Bromley,1837.0104712041884,172.87132389907526,1974.6923076923076,1.075,0,0
Camden,2836.759162303665,474.1300894184275,3354.3846153846152,1.182,0,2
Croydon,2616.832460732984,242.40818814057656,2807.3076923076924,1.073,0,3
Ealing,2437.780104712042,252.82742985345712,2659.230769230769,1.091,0,3
Enfield,2161.30890052356,304.67660831971625,2387.769230769231,1.105,0,3
Greenwich,2030.3874345549739,273.0256911937133,2316.230769230769,1.141,0,3
Hackney,2484.2041884816754,303.19421460812544,2692.846153846154,1.084,0,3
Hammersmith and Fulham,1734.0366492146597,166.26495569382934,1751.0,1.01,0,0
Haringey,2261.7643979057593,289.4349885908006,2374.153846153846,1.05,0,3
Harrow,1206.068062827225,148.04594086373186,1378.3846153846155,1.143,0,0
Havering,1475.65445026178,176.3229870334741,1603.923076923077,1.087,0,0
Hillingdon,2155.1780104712043,269.280366001526,2582.230769230769,1.198,0,2
Hounslow,2003.717277486911,225.98279781975367,2222.0,1.109,0,3
Islington,2298.413612565445,265.7811359648677,2544.6153846153848,1.107,0,3
Kensington and Chelsea,1705.4659685863874,265.0965814943261,1847.7692307692307,1.083,0,0
Kingston upon Thames,913.5287958115183,105.54663702595961,987.5384615384615,1.081,0,0
Lambeth,2855.979057591623,276.4028706933561,3108.3846153846152,1.088,0,3
Lewisham,2194.6649214659687,247.40923433999885,2423.3846153846152,1.104,0,3
Merton,1113.1884816753927,102.83234220551452,1118.076923076923,1.004,0,0
Newham,2797.303664921466,362.8132359002257,3375.6923076923076,1.207,0,2
Redbridge,1885.3089005235602,185.7239713982627,2023.3846153846155,1.073,0,0
Richmond upon Thames,970.9476439790576,105.4061187787449,967.6923076923077,0.997,0,0
Southwark,2854.303664921466,346.99031070526996,3291.6153846153848,1.153,0,2
Sutton,1010.2303664921466,117.93427839432984,1089.5384615384614,1.079,0,0
Tower Hamlets,2586.895287958115,355.7969550013129,3037.3076923076924,1.174,0,2
Waltham Forest,1923.6649214659685,175.38223751766967,1954.923076923077,1.016,0,0
Wandsworth,2051.1832460732985,202.74337663770956,2221.4615384615386,1.083,0,3
Westminster,5323.162303664922,1446.8255341092288,6753.153846153846,1.269,1,1
