MajorCategory,Mean,Std,Min,Max,Total,CV
THEFT,149.1,197.44,0,4101,3645128,1.324
VIOLENCE AGAINST THE PERSON,99.89,103.59,0,577,3052596,1.037
VEHICLE OFFENCES,64.22,69.77,0,439,1570059,1.086
BURGLARY,47.39,60.04,0,397,1124356,1.267
ARSON AND CRIMINAL DAMAGE,76.16,77.8,0,351,930925,1.022
DRUG OFFENCES,60.33,65.11,0,684,737459,1.079
PUBLIC ORDER OFFENCES,27.77,34.37,0,255,675499,1.238
ROBBERY,38.77,47.69,0,424,473953,1.23
SEXUAL OFFENCES,22.22,14.39,0,219,271675,0.648
MISCELLANEOUS CRIMES AGAINST SOCIETY,26.35,16.94,2,215,161077,0.643
POSSESSION OF WEAPONS,15.17,8.93,0,78,92728,0.589
FRAUD AND FORGERY,11.3,27.59,0,238,69074,2.442
NFIB FRAUD,0.04,0.21,0,2,17,5.25
