Category,Month,Forecast,Naive_Seasonal,Ensemble_Forecast
ARSON AND CRIMINAL DAMAGE,2026-08,4877,4856,4864.0
BURGLARY,2026-08,3966,3989,3980.0
DRUG OFFENCES,2026-08,4105,4810,4528.0
MISCELLANEOUS CRIMES AGAINST SOCIETY,2026-08,1326,1098,1189.0
POSSESSION OF WEAPONS,2026-08,796,616,688.0
PUBLIC ORDER OFFENCES,2026-08,7909,5004,6166.0
ROBBERY,2026-08,2746,2745,2745.0
SEXUAL OFFENCES,2026-08,2386,2372,2378.0
THEFT,2026-08,24444,24255,24331.0
VEHICLE OFFENCES,2026-08,6962,7214,7113.0
VIOLENCE AGAINST THE PERSON,2026-08,22777,20421,21363.0
ARSON AND CRIMINAL DAMAGE,2026-09,4451,4507,4485.0
BURGLARY,2026-09,3905,3991,3957.0
DRUG OFFENCES,2026-09,4039,4409,4261.0
MISCELLANEOUS CRIMES AGAINST SOCIETY,2026-09,1295,969,1099.0
POSSESSION OF WEAPONS,2026-09,768,533,627.0
PUBLIC ORDER OFFENCES,2026-09,7395,4793,5834.0
ROBBERY,2026-09,2652,2579,2608.0
SEXUAL OFFENCES,2026-09,2330,2203,2254.0
THEFT,2026-09,23021,22728,22845.0
VEHICLE OFFENCES,2026-09,6870,7254,7100.0
VIOLENCE AGAINST THE PERSON,2026-09,22345,19891,20873.0
ARSON AND CRIMINAL DAMAGE,2026-10,4538,4653,4607.0
BURGLARY,2026-10,4289,4268,4276.0
DRUG OFFENCES,2026-10,4289,4588,4468.0
MISCELLANEOUS CRIMES AGAINST SOCIETY,2026-10,1378,1071,1194.0
POSSESSION OF WEAPONS,2026-10,757,510,609.0
PUBLIC ORDER OFFENCES,2026-10,7664,4845,5973.0
ROBBERY,2026-10,2887,2638,2738.0
SEXUAL OFFENCES,2026-10,2462,2235,2326.0
THEFT,2026-10,24838,23526,24051.0
VEHICLE OFFENCES,2026-10,7192,7424,7331.0
VIOLENCE AGAINST THE PERSON,2026-10,23229,21203,22013.0
ARSON AND CRIMINAL DAMAGE,2026-11,4386,4447,4423.0
BURGLARY,2026-11,4324,4398,4368.0
DRUG OFFENCES,2026-11,4286,4437,4377.0
MISCELLANEOUS CRIMES AGAINST SOCIETY,2026-11,1310,999,1123.0
POSSESSION OF WEAPONS,2026-11,735,567,634.0
PUBLIC ORDER OFFENCES,2026-11,6965,4448,5455.0
ROBBERY,2026-11,2792,2764,2775.0
SEXUAL OFFENCES,2026-11,2383,2176,2259.0
THEFT,2026-11,25154,24353,24673.0
VEHICLE OFFENCES,2026-11,6891,7226,7092.0
VIOLENCE AGAINST THE PERSON,2026-11,22414,20191,21080.0
ARSON AND CRIMINAL DAMAGE,2026-12,4074,4184,4140.0
BURGLARY,2026-12,4311,4173,4228.0
DRUG OFFENCES,2026-12,4083,4253,4185.0
MISCELLANEOUS CRIMES AGAINST SOCIETY,2026-12,1267,955,1080.0
POSSESSION OF WEAPONS,2026-12,720,543,614.0
PUBLIC ORDER OFFENCES,2026-12,6292,4247,5065.0
ROBBERY,2026-12,2623,2579,2597.0
SEXUAL OFFENCES,2026-12,2242,2112,2164.0
THEFT,2026-12,24301,23925,24075.0
VEHICLE OFFENCES,2026-12,6097,6365,6258.0
VIOLENCE AGAINST THE PERSON,2026-12,22365,20057,20980.0
