Category,2026-08,2026-09,2026-10,2026-11,2026-12
ARSON AND CRIMINAL DAMAGE,4877,4451,4538,4386,4074
BURGLARY,3966,3905,4289,4324,4311
DRUG OFFENCES,4105,4039,4289,4286,4083
MISCELLANEOUS CRIMES AGAINST SOCIETY,1326,1295,1378,1310,1267
POSSESSION OF WEAPONS,796,768,757,735,720
PUBLIC ORDER OFFENCES,7909,7395,7664,6965,6292
ROBBERY,2746,2652,2887,2792,2623
SEXUAL OFFENCES,2386,2330,2462,2383,2242
THEFT,24444,23021,24838,25154,24301
VEHICLE OFFENCES,6962,6870,7192,6891,6097
VIOLENCE AGAINST THE PERSON,22777,22345,23229,22414,22365
