Month,Actual,SARIMA,Naive_Seasonal,Ensemble,SARIMA_Error,Naive_Error,Ensemble_Error
2025-01,73059,77532.0,73751,75263.0,6.12,0.95,3.02
2025-02,69091,75195.0,73425,74133.0,8.83,6.27,7.3
2025-03,75599,79458.0,75514,77092.0,5.1,0.11,1.97
2025-04,74357,76797.0,74024,75133.0,3.28,0.45,1.04
2025-05,78653,82679.0,78233,80011.0,5.12,0.53,1.73
2025-06,78414,83438.0,77845,80082.0,6.41,0.73,2.13
2025-07,82509,84317.0,80099,81786.0,2.19,2.92,0.88
2025-08,77380,81699.0,78650,79870.0,5.58,1.64,3.22
2025-09,73857,81107.0,76220,78175.0,9.82,3.2,5.85
2025-10,76963,82374.0,81476,81835.0,7.03,5.86,6.33
2025-11,76013,84193.0,80699,82097.0,10.76,6.16,8.0
2025-12,73393,81159.0,76170,78166.0,10.58,3.78,6.5
